time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.38063689067e-08,-4.90943172089e-08,0.00425759780571,6.28311642042,4.99753333303e-05,0.0,-4.21840235881e-06,-5.25025851602e-06,0.141912102527,-0.0035495258527,0.00244892949083,0.0,449.740839313,449.939092156,450.306964412,450.019818588
0.12000000000000001,-2.07678981249e-06,-2.71812371411e-06,0.0170252444418,6.28292654964,0.000292198587358,0.0,-8.47876638688e-05,-0.000105495540938,0.283650824417,-0.00240534744939,0.00703798457702,0.0,449.680703411,450.052150893,450.052698965,450.145344652
0.18,-1.53083857211e-05,-1.5318419758e-05,0.0382901762078,6.28275989496,0.000750983182776,0.0,-0.000403924150403,-0.000331307252699,0.425137540936,-0.0035326810417,0.00883633987655,0.0,449.775849904,449.921333737,450.148604281,450.05744099
0.23999999999999996,-5.81242374864e-05,-4.54017048112e-05,0.0680203256614,6.28249613708,0.00128250305226,0.0,-0.00108056846986,-0.00069707384369,0.565807680087,-0.00618107687746,0.00890327706247,0.0,449.639743714,449.645043868,450.126424278,449.9121653
0.3,-0.000153164432795,-0.000103850614728,0.106183697644,6.28205732811,0.00180488054942,0.0,-0.00214438578523,-0.0012947730882,0.706227839191,-0.00968040326752,0.00830937534865,0.0,449.777151271,449.728935525,450.180308703,449.897222461
0.36000000000000004,-0.000323333369705,-0.000208532159754,0.152782063592,6.28152379644,0.00229103138319,0.0,-0.00358092898676,-0.00225464176499,0.84695670308,-0.00736060148284,0.0076855392487,0.0,450.197527333,450.146937084,450.071431202,450.259241926
0.4200000000000001,-0.000590123158771,-0.000381762710716,0.207792037897,6.28122440422,0.00276189492569,0.0,-0.00536207195981,-0.00355907912837,0.986598440574,-0.000626136321961,0.00817014910482,0.0,449.977060578,450.016167606,449.825241789,450.370283898
0.48000000000000015,-0.000974207673299,-0.000638221678976,0.271154138019,6.28122516661,0.0033612543566,0.0,-0.00749932250557,-0.00499125580043,1.12534478742,0.00126083328139,0.0133997812673,0.0,449.778282109,450.201447661,449.970406656,450.123119334
0.5400000000000001,-0.00150081952584,-0.000980165020899,0.342824931658,6.28126657161,0.00427464654528,0.0,-0.0101465910007,-0.00640025047108,1.26353856551,-0.000476674872078,0.0186409824696,0.0,449.815929303,450.240018867,450.299409971,450.158833691
0.6000000000000002,-0.00220719799549,-0.00140608771422,0.422742177194,6.28119155331,0.00544643011471,0.0,-0.0135217280808,-0.00780238479992,1.40021142811,-0.00284441298292,0.0212503338531,0.0,449.757489097,449.968711387,450.179865415,449.98828384
0.6600000000000003,-0.00314208842308,-0.00191823319953,0.51083515416,6.28105197866,0.0067858749449,0.0,-0.0177806586636,-0.00928540526496,1.53604747386,-0.00130946643093,0.0243892466014,0.0,449.871403835,450.125488767,450.060941059,450.185195191
0.7200000000000003,-0.00436204701477,-0.00252189981806,0.607037229735,6.2810431856,0.0082519846557,0.0,-0.0230401743384,-0.0108409908694,1.67050029348,0.00208354172264,0.0245268233125,0.0,449.875162981,449.886377316,450.003768667,450.278321441
0.7800000000000004,-0.00592910934658,-0.00321814190691,0.711262674873,6.28127822297,0.00979281017029,0.0,-0.0293546081093,-0.0123471715123,1.80347939184,0.00735355117305,0.0278929045201,0.0,449.678695427,449.951379464,449.896596801,450.32298708
0.8400000000000004,-0.00790890662336,-0.00399833994524,0.823432382981,6.28182634459,0.0115740353832,0.0,-0.0368210284725,-0.0136060329315,1.93529507127,0.0124800163396,0.0330529781005,0.0,449.580582432,449.99870882,450.079204749,450.493770587
0.9000000000000005,-0.0103758340742,-0.00484101832019,0.943461022467,6.28258883581,0.0136532265513,0.0,-0.0456236017869,-0.0144025386998,2.06543078627,0.0131606589474,0.0376749199235,0.0,449.45970245,449.834602277,450.2912341,450.346166519
0.9600000000000005,-0.0134162933625,-0.00571496439986,1.07125367512,9.35858968454e-06,0.0160420917302,0.0,-0.0559689765573,-0.0146538884145,2.19408244789,0.00313202806799,0.0437815954087,0.0,449.372905737,449.868406456,450.814719509,450.003580289
1.0200000000000005,-0.0171291907704,-0.00659335241554,1.20669954847,1.1164705688e-05,0.018704364778,0.0,-0.0680702709213,-0.0146147624819,2.32052673833,-0.00703582514254,0.0455247878967,0.0,449.35110776,449.493488428,450.689202313,449.866679459
1.0800000000000005,-0.0216249269606,-0.00747176565396,1.34969117747,6.282623427,0.0214432095461,0.0,-0.0820717415791,-0.0147176651739,2.44559542107,-0.0151260635669,0.045891465724,0.0,449.613954227,449.644850322,450.629047808,449.974737902
1.1400000000000006,-0.0270186369827,-0.00837052451724,1.50014952461,6.28155317516,0.0240815366734,0.0,-0.0979974705764,-0.0153444006867,2.569405437,-0.0239018597059,0.0398282760102,0.0,450.112268077,449.622392777,450.771572769,450.061926112
1.2000000000000006,-0.0334211501353,-0.009331718771,1.65796428549,6.27993049687,0.026378509725,0.0,-0.115659512055,-0.0168546172973,2.6908011437,-0.0342156082142,0.0349985077922,0.0,450.072008277,449.681636852,450.508626263,449.673751518
1.2600000000000007,-0.0409299639153,-0.0104203234027,1.82301532146,6.2778077837,0.0283450330176,0.0,-0.134840497247,-0.0196500335344,2.81060512766,-0.0378116735176,0.0279115387884,0.0,450.301312063,449.72805255,450.325052379,450.033545547
1.3200000000000007,-0.0496280390256,-0.0117221509615,1.99519045698,6.27560929621,0.029931363779,0.0,-0.155257872738,-0.0239759748211,2.9282640228,-0.0343986323184,0.0233180602142,0.0,450.21504795,449.843376933,449.947131152,450.222758964
